time,intensity
0.03299999999999992,[-24.08477657]
0.04099999999999992,[-12.33739459]
0.04899999999999992,[-5.86545911]
0.05699999999999992,[-2.42253418]
0.06499999999999992,[-0.6286749]
0.07299999999999993,[0.13797501]
0.08099999999999992,[0.90275595]
0.08899999999999991,[1.46280262]
0.09699999999999992,[1.08610895]
0.10499999999999993,[0.62353559]
0.11299999999999992,[1.16580745]
0.12099999999999991,[7.18544628]
0.12899999999999992,[13.22436977]
0.13699999999999993,[16.19060549]
0.1449999999999999,[16.22643633]
0.1529999999999999,[14.94132928]
0.16099999999999992,[17.92119554]
0.16899999999999993,[22.62053017]
0.17699999999999994,[25.83457806]
0.18499999999999991,[29.1197328]
0.19299999999999992,[32.21245202]
0.20099999999999993,[33.30005354]
0.2089999999999999,[32.04035141]
0.21699999999999992,[29.17798123]
0.22499999999999992,[26.03341958]
0.23299999999999993,[24.78670941]
0.24099999999999994,[24.23197306]
0.24899999999999992,[23.72362749]
0.2569999999999999,[23.9615526]
0.2649999999999999,[23.21350522]
0.2729999999999999,[20.92191647]
0.2809999999999999,[18.72949893]
0.2889999999999999,[19.12188579]
0.29699999999999993,[20.3269602]
0.30499999999999994,[21.16197266]
0.31299999999999994,[22.01436888]
0.32099999999999995,[22.73913318]
0.3289999999999999,[22.95037914]
0.3369999999999999,[21.57237171]
0.3449999999999999,[19.88286694]
0.3529999999999999,[19.98091445]
0.36099999999999993,[20.01351843]
0.36899999999999994,[18.72348274]
0.37699999999999995,[16.50088965]
0.3849999999999999,[15.76314106]
0.3929999999999999,[14.92158015]
0.4009999999999999,[12.33043517]
0.4089999999999999,[9.13031788]
0.4169999999999999,[5.51946689]
0.42499999999999993,[4.25989395]
0.43299999999999994,[3.54477899]
0.44099999999999995,[4.4776013]
0.44899999999999995,[8.65987736]
0.4569999999999999,[11.49647713]
0.4649999999999999,[13.50863468]
0.4729999999999999,[13.96973116]
0.4809999999999999,[13.5049861]
0.48899999999999993,[13.01013164]
0.49699999999999994,[10.5366901]
0.5049999999999999,[7.83357248]
0.5129999999999999,[10.08682889]
0.5209999999999999,[12.63853203]
0.5289999999999999,[12.07928]
0.5369999999999999,[9.62335167]
0.5449999999999999,[13.33193466]
0.5529999999999999,[17.37802085]
0.5609999999999999,[17.68893491]
0.569,[15.12693489]
0.577,[11.56487029]
0.585,[7.76935826]
0.593,[4.64852297]
0.601,[3.88631192]
0.609,[4.13958594]
0.6169999999999999,[4.55786254]
0.6249999999999999,[7.39267931]
0.6329999999999999,[11.19817755]
0.6409999999999999,[13.4578122]
0.6489999999999999,[13.65629953]
0.6569999999999999,[11.94773685]
0.6649999999999999,[10.50055684]
0.6729999999999999,[10.02871458]
0.6809999999999999,[10.89366037]
0.689,[12.87842218]
0.697,[14.93843304]
0.705,[16.2320713]
0.713,[15.15712257]
0.721,[11.92384743]
0.729,[8.6437414]
0.7369999999999999,[6.30466804]
0.7449999999999999,[4.77634611]
0.7529999999999999,[4.32277824]
0.7609999999999999,[4.42519002]
0.7689999999999999,[3.73952718]
0.7769999999999999,[2.65793596]
0.7849999999999999,[2.39113322]
0.7929999999999999,[3.02167329]
0.8009999999999999,[3.5488597]
0.8089999999999999,[3.34504284]
0.817,[2.86837849]
0.825,[2.77460659]
