time,intensity
0.03400000000000114,[-22.22025606]
0.04200000000000114,[-11.27919436]
0.05000000000000114,[-5.29576628]
0.05800000000000114,[-2.12075194]
0.06600000000000114,[-0.48259803]
0.07400000000000115,[0.21281359]
0.08200000000000114,[1.01717195]
0.09000000000000113,[1.46603049]
0.09800000000000114,[0.98585568]
0.10600000000000115,[0.28407379]
0.11400000000000114,[0.0544949]
0.12200000000000114,[0.06553024]
0.13000000000000114,[0.20946496]
0.13800000000000115,[1.03600406]
0.14600000000000113,[1.37949609]
0.15400000000000114,[2.98590931]
0.16200000000000114,[8.6260609]
0.17000000000000115,[14.23112897]
0.17800000000000116,[17.74924135]
0.18600000000000114,[19.64384955]
0.19400000000000114,[20.33012886]
0.20200000000000115,[19.94700729]
0.21000000000000113,[19.04272424]
0.21800000000000114,[19.04303708]
0.22600000000000114,[19.375299]
0.23400000000000115,[19.30858231]
0.24200000000000116,[18.85205732]
0.2500000000000011,[16.96550212]
0.2580000000000011,[14.31036938]
0.2660000000000011,[12.03362741]
0.27400000000000113,[9.32379598]
0.28200000000000114,[6.27354707]
0.29000000000000115,[4.83678753]
0.29800000000000115,[5.25846532]
0.30600000000000116,[6.06914472]
0.31400000000000117,[5.91317053]
0.3220000000000012,[5.51422851]
0.3300000000000011,[5.2509104]
0.33800000000000113,[4.38797165]
0.34600000000000114,[3.18029008]
0.35400000000000115,[3.33799185]
0.36200000000000115,[4.00357759]
0.37000000000000116,[3.42392151]
0.37800000000000117,[3.03836647]
0.3860000000000011,[2.48297753]
0.3940000000000011,[1.76516628]
0.40200000000000113,[1.48264217]
0.41000000000000114,[0.75452142]
0.41800000000000115,[0.05571336]
0.42600000000000116,[0.44967608]
0.43400000000000116,[1.05151573]
0.44200000000000117,[1.08821392]
0.4500000000000012,[0.50862462]
0.45800000000000113,[1.15319336]
0.46600000000000114,[1.8904722]
0.47400000000000114,[2.85173152]
0.48200000000000115,[4.29481169]
0.49000000000000116,[4.45563147]
0.49800000000000116,[4.84134472]
0.5060000000000011,[5.46558661]
0.5140000000000011,[5.44756249]
0.5220000000000011,[5.31949424]
0.5300000000000011,[5.89824936]
0.5380000000000011,[7.54343179]
0.5460000000000012,[9.66159306]
0.5540000000000012,[10.40515037]
0.5620000000000012,[10.23443861]
0.5700000000000012,[9.88489548]
0.5780000000000012,[7.71835976]
0.5860000000000012,[4.29428459]
0.5940000000000012,[3.49096417]
0.6020000000000012,[4.5086367]
0.6100000000000012,[4.02108738]
0.6180000000000011,[2.45161765]
0.6260000000000011,[1.70527614]
0.6340000000000011,[1.76157464]
0.6420000000000011,[1.54487838]
0.6500000000000011,[1.30694098]
0.6580000000000011,[1.57787268]
0.6660000000000011,[1.64106118]
0.6740000000000012,[2.1194371]
0.6820000000000012,[2.6202349]
0.6900000000000012,[2.27064999]
0.6980000000000012,[1.472364]
0.7060000000000012,[1.16706704]
0.7140000000000012,[1.68155144]
0.7220000000000012,[1.92127114]
0.7300000000000012,[1.80357036]
0.7380000000000011,[1.45540849]
0.7460000000000011,[1.5584155]
0.7540000000000011,[1.69102426]
0.7620000000000011,[1.95608704]
0.7700000000000011,[3.89664697]
0.7780000000000011,[11.15525916]
0.7860000000000011,[19.21921625]
0.7940000000000011,[26.31125731]
0.8020000000000012,[38.00094902]
0.8100000000000012,[50.23179786]
0.8180000000000012,[59.60071676]
0.8260000000000012,[66.06298955]
0.8340000000000012,[69.94397915]
0.8420000000000012,[71.82594219]
0.8500000000000012,[72.37870311]
0.8580000000000012,[71.83784349]
0.8660000000000012,[70.6250055]
0.8740000000000011,[69.93450197]
0.8820000000000011,[69.56746394]
0.8900000000000011,[69.98398489]
