time,intensity
0.0349999999999997,[-20.41649364]
0.0429999999999997,[-10.32869703]
0.0509999999999997,[-4.78731]
0.0589999999999997,[-1.85965336]
0.0669999999999997,[-0.35844175]
0.0749999999999997,[0.29220611]
0.0829999999999997,[1.11783836]
0.09099999999999969,[1.44896062]
0.0989999999999997,[0.90382991]
0.1069999999999997,[0.28014285]
0.1149999999999997,[0.62849924]
0.12299999999999969,[2.58411129]
0.1309999999999997,[5.01098393]
0.1389999999999997,[5.63799086]
0.1469999999999997,[5.33271382]
0.1549999999999997,[9.93337783]
0.1629999999999997,[17.66023979]
0.1709999999999997,[23.73173259]
0.17899999999999971,[29.01910846]
0.1869999999999997,[32.1241359]
0.1949999999999997,[32.35439841]
0.2029999999999997,[30.00869692]
0.2109999999999997,[27.68406059]
0.2189999999999997,[28.07681341]
0.2269999999999997,[28.31608127]
0.2349999999999997,[26.9189329]
0.24299999999999972,[24.75625074]
0.25099999999999967,[22.47303945]
0.2589999999999997,[20.6711997]
0.2669999999999997,[19.42351159]
0.2749999999999997,[16.5769088]
0.2829999999999997,[13.42116764]
0.2909999999999997,[12.11505721]
0.2989999999999997,[10.54356122]
0.3069999999999997,[10.49553776]
0.3149999999999997,[11.49266]
0.32299999999999973,[11.16438251]
0.3309999999999997,[10.09040118]
0.3389999999999997,[10.23404919]
0.3469999999999997,[9.51508635]
0.3549999999999997,[9.04394297]
0.3629999999999997,[9.75831587]
0.3709999999999997,[10.24070712]
0.3789999999999997,[9.89241086]
0.3869999999999997,[9.53949855]
0.3949999999999997,[8.98965076]
0.4029999999999997,[7.54217207]
0.4109999999999997,[4.9039087]
0.4189999999999997,[3.25759873]
0.4269999999999997,[2.14198832]
0.4349999999999997,[1.02705172]
0.4429999999999997,[1.22752101]
0.45099999999999973,[3.09866793]
0.4589999999999997,[8.64966335]
0.4669999999999997,[13.59351076]
0.4749999999999997,[15.43848698]
0.4829999999999997,[15.21673839]
0.4909999999999997,[14.66225302]
0.4989999999999997,[13.7219545]
0.5069999999999997,[11.70282803]
0.5149999999999997,[9.1712416]
0.5229999999999997,[7.36767126]
0.5309999999999997,[9.15560693]
0.5389999999999997,[14.24960476]
0.5469999999999997,[18.53639208]
0.5549999999999997,[20.7603031]
0.5629999999999997,[20.32655714]
0.5709999999999997,[16.80232031]
0.5789999999999997,[12.48684927]
0.5869999999999997,[11.82721745]
0.5949999999999998,[10.32842101]
0.6029999999999998,[6.83499234]
0.6109999999999998,[5.05426533]
0.6189999999999997,[6.19959597]
0.6269999999999997,[9.04944319]
0.6349999999999997,[11.4873204]
0.6429999999999997,[11.91247288]
0.6509999999999997,[10.27831962]
0.6589999999999997,[7.93631512]
0.6669999999999997,[5.55446435]
0.6749999999999997,[3.78613443]
0.6829999999999997,[6.22056212]
0.6909999999999997,[10.1248043]
0.6989999999999997,[11.74040707]
0.7069999999999997,[10.77381942]
0.7149999999999997,[8.86982806]
0.7229999999999998,[6.71328304]
0.7309999999999998,[4.51991907]
0.7389999999999997,[2.75328105]
0.7469999999999997,[2.51441056]
0.7549999999999997,[2.89857861]
0.7629999999999997,[2.74698646]
0.7709999999999997,[2.92854056]
0.7789999999999997,[3.41301759]
0.7869999999999997,[2.94709899]
0.7949999999999997,[2.12860637]
0.8029999999999997,[1.46836997]
0.8109999999999997,[1.02233175]
0.8189999999999997,[1.6934493]
0.8269999999999997,[2.23327574]
0.8349999999999997,[2.0265834]
0.8429999999999997,[1.62386218]
0.8509999999999998,[1.30576376]
0.8589999999999998,[2.05075123]
0.8669999999999998,[2.73555968]
0.8749999999999997,[2.59197049]
0.8829999999999997,[2.52858464]
0.8909999999999997,[2.5329974]
0.8989999999999997,[2.91745106]
0.9069999999999997,[3.76629263]
0.9149999999999997,[5.11331178]
0.9229999999999997,[5.44642785]
0.9309999999999997,[5.19087733]
0.9389999999999997,[4.90373154]
0.9469999999999997,[3.87392163]
0.9549999999999997,[3.24781498]
0.9629999999999997,[3.04874665]
0.9709999999999998,[2.18161864]
0.9789999999999998,[0.91980689]
0.9869999999999998,[0.74829279]
0.9949999999999997,[1.43425447]
1.0029999999999997,[1.90125348]
1.0109999999999997,[1.39448606]
1.0189999999999997,[1.03856846]
1.0269999999999997,[1.77681686]
1.0349999999999997,[1.53923173]
1.0429999999999997,[1.20450099]
1.0509999999999997,[0.88587753]
1.0589999999999997,[0.47976153]
1.0669999999999997,[0.52253719]
1.0749999999999997,[0.63803856]
1.0829999999999997,[0.45896801]
1.0909999999999997,[0.32991512]
1.0989999999999998,[0.85366668]
1.1069999999999998,[1.58295737]
1.1149999999999998,[1.46574003]
1.1229999999999998,[0.30104214]
1.1309999999999998,[-0.11122676]
1.1389999999999998,[0.781536]
1.1469999999999998,[1.09560139]
1.1549999999999998,[1.23214291]
1.1629999999999998,[1.27690043]
1.1709999999999998,[1.03071689]
1.1789999999999998,[1.25564356]
1.1869999999999998,[3.94623734]
1.1949999999999996,[6.51542309]
1.2029999999999996,[17.44770143]
1.2109999999999996,[26.73996309]
1.2189999999999996,[32.90888722]
1.2269999999999996,[38.43776683]
1.2349999999999997,[47.09760347]
1.2429999999999997,[54.60882307]
1.2509999999999997,[59.68445474]
1.2589999999999997,[62.52432222]
1.2669999999999997,[63.98157905]
1.2749999999999997,[65.02605853]
1.2829999999999997,[66.56013944]
1.2909999999999997,[68.4309647]
1.2989999999999997,[69.99789015]
1.3069999999999997,[71.28647219]
1.3149999999999997,[72.14518663]
1.3229999999999997,[72.19219967]
1.3309999999999997,[71.67590616]
1.3389999999999997,[71.2953088]
1.3469999999999998,[71.3409063]
1.3549999999999998,[71.28810378]
1.3629999999999998,[70.76262302]
1.3709999999999998,[70.37183018]
1.3789999999999998,[70.62317161]
1.3869999999999998,[70.73460039]
1.3949999999999998,[70.5823514]
1.4029999999999998,[70.1457543]
1.4109999999999998,[69.18777812]
1.4189999999999998,[67.49454041]
1.4269999999999998,[66.10374022]
1.4349999999999998,[66.7891321]
1.4429999999999996,[68.12014156]
1.4509999999999996,[68.93386027]
1.4589999999999996,[68.69836785]
1.4669999999999996,[67.5655041]
1.4749999999999996,[66.21046566]
1.4829999999999997,[64.96536782]
1.4909999999999997,[63.53090246]
1.4989999999999997,[62.08793377]
1.5069999999999997,[60.98109657]
1.5149999999999997,[59.77220097]
1.5229999999999997,[58.01061542]
1.5309999999999997,[57.43510137]
1.5389999999999997,[57.46829456]
1.5469999999999997,[56.4870613]
1.5549999999999997,[55.31333176]
1.5629999999999997,[54.40135973]
1.5709999999999997,[54.64802969]
1.5789999999999997,[55.89710787]
1.5869999999999997,[57.39401156]
1.5949999999999998,[58.13175753]
1.6029999999999998,[57.98755028]
1.6109999999999998,[57.91070142]
1.6189999999999998,[57.81147737]
1.6269999999999998,[57.41904377]
1.6349999999999998,[57.37013513]
1.6429999999999998,[57.99415424]
1.6509999999999998,[58.61299178]
1.6589999999999998,[59.48871402]
1.6669999999999998,[60.45626352]
1.6749999999999998,[60.55949109]
1.6829999999999998,[59.94221022]
1.6909999999999998,[59.311977]
1.6989999999999998,[59.10116761]
1.7069999999999996,[58.9131718]
1.7149999999999996,[58.53282518]
1.7229999999999996,[58.56886294]
1.7309999999999997,[59.05753306]
1.7389999999999997,[59.45946639]
1.7469999999999997,[59.7776011]
1.7549999999999997,[60.17568618]
1.7629999999999997,[60.34322699]
1.7709999999999997,[60.09428153]
1.7789999999999997,[59.84853755]
1.7869999999999997,[60.08810866]
1.7949999999999997,[59.78685371]
1.8029999999999997,[59.12426845]
1.8109999999999997,[59.07574341]
1.8189999999999997,[58.69458781]
1.8269999999999997,[57.69163501]
1.8349999999999997,[56.88641824]
1.8429999999999997,[56.63871302]
1.8509999999999998,[56.43953409]
1.8589999999999998,[55.85991421]
1.8669999999999998,[55.09985888]
1.8749999999999998,[54.19077683]
1.8829999999999998,[53.32980849]
1.8909999999999998,[52.6124342]
1.8989999999999998,[51.19786581]
1.9069999999999998,[49.47855922]
1.9149999999999998,[48.50494825]
1.9229999999999998,[47.35643644]
1.9309999999999998,[45.85746948]
1.9389999999999998,[44.1146846]
1.9469999999999998,[41.71811052]
1.9549999999999996,[39.30769325]
1.9629999999999996,[37.44937242]
1.9709999999999996,[36.03111445]
1.9789999999999996,[33.89791108]
1.9869999999999997,[31.79849868]
1.9949999999999997,[30.47645162]
2.0029999999999997,[29.88682733]
2.0109999999999997,[29.83552522]
2.0189999999999997,[28.54201561]
2.0269999999999997,[26.2528244]
2.0349999999999997,[25.18395941]
2.0429999999999997,[24.3476611]
2.0509999999999997,[22.96487733]
2.0589999999999997,[21.52651559]
2.0669999999999997,[19.38112027]
2.0749999999999997,[17.41699994]
2.0829999999999997,[16.6698935]
2.0909999999999997,[17.07833456]
2.0989999999999998,[20.59620076]
2.1069999999999998,[22.7177822]
2.1149999999999998,[21.71692891]
